code_space_small,Shelves_name,Types_of_size_id,Name,Barcode,Location,Status ID
0101AS01,Shelf A,4,0101AS01,0101AS01,Shelf A,10
0101BS01,Shelf B,4,0101BS01,0101BS01,Shelf B,10
0101CS01,Shelf C,4,0101CS01,0101CS01,Shelf C,10
0101DS01,Shelf D,4,0101DS01,0101DS01,Shelf D,10
0101ES01,Shelf E,4,0101ES01,0101ES01,Shelf E,10
0101FS01,Shelf F,4,0101FS01,0101FS01,Shelf F,10
0101GS01,Shelf G,4,0101GS01,0101GS01,Shelf G,10
0101HS01,Shelf H,4,0101HS01,0101HS01,Shelf H,10
0101IS01,Shelf I,4,0101IS01,0101IS01,Shelf I,10
0101JS01,Shelf J,4,0101JS01,0101JS01,Shelf J,10
0101KS01,Shelf K,4,0101KS01,0101KS01,Shelf K,10
0101LS01,Shelf L,4,0101LS01,0101LS01,Shelf L,10
0101MS01,Shelf M,4,0101MS01,0101MS01,Shelf M,10
0101NS01,Shelf N,4,0101NS01,0101NS01,Shelf N,10
0101OS01,Shelf O,4,0101OS01,0101OS01,Shelf O,10
0101PS01,Shelf P,4,0101PS01,0101PS01,Shelf P,10
0101QS01,Shelf Q,4,0101QS01,0101QS01,Shelf Q,10
0101RS01,Shelf R,4,0101RS01,0101RS01,Shelf R,10
0101SS01,Shelf S,4,0101SS01,0101SS01,Shelf S,10
0101TS01,Shelf T,4,0101TS01,0101TS01,Shelf T,10
0101US01,Shelf U,4,0101US01,0101US01,Shelf U,10
0101VS01,Shelf V,4,0101VS01,0101VS01,Shelf V,10
0101WS01,Shelf W,4,0101WS01,0101WS01,Shelf W,10
0101XS01,Shelf X,4,0101XS01,0101XS01,Shelf X,10
0101YS01,Shelf Y,4,0101YS01,0101YS01,Shelf Y,10
0101ZS01,Shelf Z,4,0101ZS01,0101ZS01,Shelf Z,10
0101AAS01,Shelf AA,4,0101AAS01,0101AAS01,Shelf AA,10
0101ABS01,Shelf AB,4,0101ABS01,0101ABS01,Shelf AB,10
0101ACS01,Shelf AC,4,0101ACS01,0101ACS01,Shelf AC,10
0101ADS01,Shelf AD,4,0101ADS01,0101ADS01,Shelf AD,10
0101AES01,Shelf AE,4,0101AES01,0101AES01,Shelf AE,10
0101AFS01,Shelf AF,4,0101AFS01,0101AFS01,Shelf AF,10
